client,ticket_id,priority
Brian Lucas,03154572-2718-429d-8d0a-998382aae869,Medium
Angel Robles,6427a00a-c761-48ea-92e9-3d0719e36912,Medium
DR. BRITTANY HUNTER,e23b2c0c-2a3e-40e4-aa23-7e87d7d3aa2a,Low
sandra hill,972fe6a5-1a1c-4344-a3c2-2ea73018b161,Low
J. Short,63afbe49-80b3-4836-b66d-e4150719b6cb,High
NICHOLAS JOHNSON,8c410bd4-b29f-466b-997b-08ed79477829,Medium
"Sandra, Hill",174d9498-a4e3-4963-87fd-a83a22179874,Medium
"Dr., Karen, Thompson",a9198778-f037-4301-901f-a74e41b8a594,Medium
george patel,a28bbfad-5818-4c0c-834a-22f726456ab8,Low
Eric W.,5a041642-0b9b-446f-b362-772a48e55e0c,Low
"Molly, French",208cc106-1107-4d18-b895-e60857e6cdd3,Low
LINDSEY RODRIGUEZ,90661424-5f8c-4cfa-bb6b-ad20d45d3b7c,High
Suzanne Rodgers,d33c0815-53b9-4654-add5-af3ebffcc3f2,Medium
A. Oliver,7842033f-5efc-4847-b058-63b795be561a,Medium
C. Crane,fdc1586f-60e7-4843-b8e4-3ede73bb4812,High
"Diana, Ford",55d80709-4d97-473b-83f3-93d81117174d,Low
LINDSEY RODRIGUEZ,376d484c-5bde-4ec0-a8aa-2ed902139fcd,High
James C.,364958ae-9cd5-4673-8340-488c1bcc02da,Medium
Lindsey S.,cd6f36bb-1895-4393-bbcf-20582aa70fc8,Medium
elizabeth sandoval,f9587c1e-353d-489c-93a4-f295129eba02,High
"Monique, Jones",7c457fed-b5fe-42e5-958d-76c880a91790,Medium
MRS. JACQUELINE HORTON,3fc80b90-fa28-4185-b964-2f1352b5d1e1,Low
J. Short,f193cf2b-96f9-4bd2-9fb6-999e8282e5ba,High
ELIZABETH MALDONADO,4ee0e72d-d660-4439-87d8-9db0f42f4ed8,High
JOHN COSTA,da002cdc-14c2-4606-8a5f-792bb55929f1,Medium
L. Johnson,740a20c8-d567-4fe3-bb25-d865726cbb66,Medium
RYAN WRIGHT,0244c4f5-b3e2-481c-86a3-ecdbb9be8f25,Medium
JAMES SHORT,4e27efc1-1673-4682-9a29-036f61f36dcf,High
"Beth, Larsen",0be744fd-c740-4a48-95e3-a032e0e14cc9,Medium
"Mrs., Jacqueline, Horton",a04e75bb-e89e-4123-a228-4be60e54824b,Low
"Nicholas, Johnson",bf252c05-643b-4f76-88f3-e18f82d2518a,Low
"Beth, Larsen",98ca8541-cac5-4335-9eaf-d17411ac03d0,High
Beth L.,a23f9daf-65eb-49a1-88ca-e40aa9328576,Medium
BRIAN LUCAS,131d260f-fdeb-4ae6-ab8a-1a54f5ac3460,High
LEE JOHNSON,cb50baa3-d41a-45c7-b937-7a18bf53a90d,Medium
Kristin S.,f43c474e-0d6c-4f30-8dac-a1581db1f198,High
"Jillian, Garcia",87041881-1fe0-49cb-bdab-50b7d5e1358b,Medium
Veronica P.,e8f94cc5-2396-4017-b9f6-e2ba1ac17879,Low
Elizabeth Sandoval,e788ada7-9272-40c5-8142-631cce8514e2,High
Mrs. Jacqueline Horton,844c7406-21f4-4613-9a7e-ce5756436557,Low
"Samantha, Blair",410d0f46-5e7f-41a1-96d9-9232d96bf432,Medium
"Christopher, Crane",3a498d29-f255-441a-915a-553e175318af,Medium
linda williams,c6b23803-311a-4577-a9a3-f6ed9d9dcc9b,High
MRS. JACQUELINE HORTON,86a653f0-bab9-4092-8414-7aed2e0e93cd,High
arthur ellis,ec0f4bcb-3185-46d0-a1a7-5c7cf25266ad,Low
"Eric, White",1998d7d3-a0f9-4e36-9151-03ac3c92ba1d,Medium
ELIZABETH SANDOVAL,9553ed57-2dad-4072-b13a-a7ef5c5db039,Medium
J. Short,7373de71-c2ad-4759-a459-0551300d1ffd,High
"Monique, Jones",4bc55db3-5aca-4eec-9f5a-bc80a4a08b95,High
Lori D.,23cbedfd-2341-4421-bb25-91f38f9a9e20,High
B. Jones,340f5aee-1a7c-40fa-b29e-5655a633751b,Low
L. Rodriguez,d666e646-e8e6-4a30-a79f-0a923f4d3ecc,Low
Lindsey S.,4d42b020-3a69-4fb6-bc7f-de84d5896f26,Low
george patel,2206ea7f-05a6-4f11-abf7-e8ccc87abcb5,High
"Lori, Dorsey",f326faa3-8335-4017-a3f0-23f8505944c3,High
jared jones,de573ce4-9149-47f5-90c1-f8dac05e54fb,High
S. Hill,6d1012f3-e6f6-44bd-943e-fb6a32cc9326,Low
Robert S.,dadc5454-d8a4-4010-9a40-0ed5813965c0,Low
A. Ellis,4c1c4ded-b2b3-4bb8-af58-ec01d3bca22e,Medium
Eric W.,e2f3b058-241f-4019-818d-e12885045b6a,High
Lori Dorsey,a1a421b4-a741-4b11-b736-078ef320479b,Medium
LINDSEY RODRIGUEZ,3b84daf7-2dd1-48cc-bb33-23b4cdef2094,High
"Robert, Brown",036763f4-7e18-4085-b58b-38142a8c2fc0,Low
E. White,b7c24448-f431-4a7e-b856-334e515308a8,High
JAMES LANE,e95e3aa1-6a79-429c-86ae-8662093b347a,High
S. Rodgers,02e3dcc6-3571-4420-842b-7075402422c1,Low
Kevin Graham,b8b42c1d-2f0b-4d90-b0f5-edd1d30822f7,High
Kevin G.,38afcee3-cab7-4a3d-8653-4b444620131a,High
ricky campbell,3275073f-8bdc-44f9-a2c0-b89888ab0358,Medium
L. Silva,7879931a-4717-4955-954f-d486c9faa624,Medium
"Aaron, Kaufman",700f095a-141d-4b92-b26c-d728fd8b8f9c,Medium
"Arthur, Ellis",9df9c5c4-d73f-4e56-9a92-1cd0bcdef578,Medium
William B.,a6442984-ab4a-4406-b012-1a28e61ea791,Low
E. Sandoval,9359b171-c1ca-43b6-8664-3c3db8d86613,Medium
Eric White,69140d78-fdd4-4454-bfd6-a1d3087e7d26,Low
Lindsey R.,87bcbe17-cf32-4845-90d4-07fce52f56c3,Medium
M. French,9730764e-d620-4523-b7c5-38d68a9080c0,High
G. Patel,c3fbfc32-a358-42ce-9cf3-d7b958ccc6e1,High
"Kristi, Vasquez",68bbd86d-7838-4fe0-aa55-3afa1076ea0a,High
John Costa,22365b5a-41d8-41a0-b5df-0eb2471eea4b,Low
"Ricky, Campbell",eed112f5-9e97-4faa-b036-ea1babe0e767,Low
Arthur Ellis,7da187fc-3ff0-432c-b627-a8d7e4a0f73f,High
james short,7c818cc9-6247-4929-98be-357d59e20ed5,High
Jillian Garcia,057c58a5-a9bc-4331-8f3d-2ec034f84a4e,Low
A. Kaufman,83597969-24bc-4309-a175-efc1500c245a,Low
Elizabeth M.,7edea361-32a6-4a6d-be4c-2dfd1885205e,Medium
"Jillian, Garcia",bd610686-f0d3-4d8f-bbd2-23f2f901cdbe,Low
AARON KAUFMAN,bb562a27-f745-4031-960e-51e8f784951a,Medium
DAWN ALLEN,3d0843f6-1b83-469d-b62e-71569db5b546,Medium
Elizabeth Sandoval,43d78739-5748-4794-b16b-d76737b09d67,Medium
Deborah Adams,f6270086-e994-456d-b9ca-43195ca3d29d,Medium
george patel,0880bc20-65b5-448e-9f3c-bb8e543af23a,Medium
brittany jones,e104ae7f-8a4e-4587-bc58-81a1c98f05ae,Low
BRENT GARCIA,799e313b-03de-4ecb-823e-14a4c7fb3b31,Medium
BRIAN LUCAS,eb53deda-e5d8-476a-8992-9b634bbfe881,Medium
"Dr., Brittany, Hunter",2734284b-d8a5-46da-a6ae-e4e6be8e5272,High
DEBORAH ADAMS,adab4988-ef03-4fdb-aef4-d95f215dd95a,Low
jared jones,db18aea8-29ad-462d-a085-42c846540bd5,Low
Dawn A.,92bb3bf0-adc1-4fad-8b25-aa841cd65532,High
JOHN COSTA,76cac550-74af-4cdc-9860-c51122e95c7f,Low
ricky campbell,8bc63d42-6622-4945-ae4f-7f3b70a804c2,Low
MRS. JACQUELINE HORTON,a31e408e-e3cd-47f3-8631-93c8b1387532,Medium
"Brent, Garcia",fb8a9052-f824-4b72-9d49-1b9397982583,Low
SANDRA HILL,43afa2e0-a471-4a5d-957c-f0c7226ba438,High
linda williams,c74bea59-2f58-4723-903f-30ec5090f012,High
"Dawn, Allen",e9b86dd8-eef4-44ad-91b5-55e08e99d839,High
RICKY CAMPBELL,db5f058a-2a66-4998-bbc9-708b3e9a0cd8,Medium
diana ford,6dd5819d-4f9d-4261-b81a-27119a564839,High
philip vega,f0b74579-3759-4405-a4d3-0956c244fbe3,High
Molly French,7133c505-882f-4a02-b08c-62a83888a97a,High
"Molly, French",f8fbc362-bf1c-4647-ae32-c12a169a515d,Low
james cook,751cbdae-ec57-457e-aa03-79f961414527,Low
"Ashley, Oliver",76d06b59-b0f9-4a80-b07a-0e093efef65d,Low
"Brian, Lucas",2fe4b2c2-59cb-447e-b37f-93b5f08eddfb,High
jillian garcia,d2c6bc99-6266-49e9-bd16-0dc98a0c99ac,High
lindsey rodriguez,9474896d-cdd0-43d6-969e-b60d294d9adf,Medium
B. Larsen,f97d15b0-8a4b-4432-87eb-3e60bbf8c492,Low
PHILIP VEGA,42d5b9d7-b176-4572-8209-82f55058f29f,Low
Elizabeth S.,f28e64c9-f23e-4e81-b330-3ae52000297f,Low
L. Johnson,5eb270bd-9a13-4641-9b91-a37a1dcadad9,High
W. Bush,78fe6efc-9e4c-4439-ad16-eba4811b2bf3,High
"Arthur, Ellis",20d6b73d-7f0e-442b-8a94-b13645d26cfc,Low
"Ashley, Oliver",264a66e4-b405-4641-8fce-53395b2decfb,High
Molly F.,a9b3ab58-cdd8-4458-bd91-7be4ead03f5a,High
JARED JONES,c28f50e9-efda-45b6-b3e1-df0243b37881,Medium
"Brittany, Jones",b3c4dc00-ffcd-437b-9614-173bc5483a67,High
Jason Brown,91a9ca6b-06fc-454f-b056-4936c3557000,Medium
"Kristin, Solis",8ffde5cb-e2d8-4454-92aa-554021715b41,Low
MOLLY FRENCH,343878c5-90ae-4165-af0b-d32a76d04afa,Low
elizabeth maldonado,34564635-6c3b-407d-abee-c77c473a5703,High
"Philip, Vega",48bf5c6f-557b-468d-b5e8-d9092800b038,Low
ARTHUR ELLIS,41bcd61d-cc16-4b1f-b68f-67b091132db7,High
SUZANNE RODGERS,928795e1-7310-48cc-b392-966d09571ac0,High
Mrs. H.,9bc8b26e-6181-4621-9e87-a79fb9f738da,Medium
"Sandra, Hill",3f373e0a-82c6-4987-a1d3-c7f4237e4e3e,High
